"ID","r0_total","r1_total","r2_total","r3_total","total","filename","date","strain","treatment","host_present","rstatus","experimenter","experimentlabel","country","site","valid_frames","r0prop","r1prop","r2prop","r3prop","tophalftot","bottomhalftot","tophalfprop","bottomhalfprop","prev_key","tot_t_5","tot_t_10","tot_t_15","tot_t_20","tot_t_25","tot_t_30","tot_t_35","tot_t_40","tot_t_45","tot_t_50","tot_t_55","tot_t_60","tot_t_65","tot_t_70","tot_t_75","tot_t_80","tot_t_85","tot_t_90","tot_t_95","tot_t_100","tot_t_105","tot_t_110","tot_t_115","tot_t_120","tot_t_125","tot_t_130","tot_t_135","tot_t_140","tot_t_145","tot_t_150","tot_t_155","tot_t_160","tot_t_165","tot_t_170","tot_t_175","tot_t_180","R0_t_5","R0_t_10","R0_t_15","R0_t_20","R0_t_25","R0_t_30","R0_t_35","R0_t_40","R0_t_45","R0_t_50","R0_t_55","R0_t_60","R0_t_65","R0_t_70","R0_t_75","R0_t_80","R0_t_85","R0_t_90","R0_t_95","R0_t_100","R0_t_105","R0_t_110","R0_t_115","R0_t_120","R0_t_125","R0_t_130","R0_t_135","R0_t_140","R0_t_145","R0_t_150","R0_t_155","R0_t_160","R0_t_165","R0_t_170","R0_t_175","R0_t_180","R1_t_5","R1_t_10","R1_t_15","R1_t_20","R1_t_25","R1_t_30","R1_t_35","R1_t_40","R1_t_45","R1_t_50","R1_t_55","R1_t_60","R1_t_65","R1_t_70","R1_t_75","R1_t_80","R1_t_85","R1_t_90","R1_t_95","R1_t_100","R1_t_105","R1_t_110","R1_t_115","R1_t_120","R1_t_125","R1_t_130","R1_t_135","R1_t_140","R1_t_145","R1_t_150","R1_t_155","R1_t_160","R1_t_165","R1_t_170","R1_t_175","R1_t_180","R2_t_5","R2_t_10","R2_t_15","R2_t_20","R2_t_25","R2_t_30","R2_t_35","R2_t_40","R2_t_45","R2_t_50","R2_t_55","R2_t_60","R2_t_65","R2_t_70","R2_t_75","R2_t_80","R2_t_85","R2_t_90","R2_t_95","R2_t_100","R2_t_105","R2_t_110","R2_t_115","R2_t_120","R2_t_125","R2_t_130","R2_t_135","R2_t_140","R2_t_145","R2_t_150","R2_t_155","R2_t_160","R2_t_165","R2_t_170","R2_t_175","R2_t_180","R3_t_5","R3_t_10","R3_t_15","R3_t_20","R3_t_25","R3_t_30","R3_t_35","R3_t_40","R3_t_45","R3_t_50","R3_t_55","R3_t_60","R3_t_65","R3_t_70","R3_t_75","R3_t_80","R3_t_85","R3_t_90","R3_t_95","R3_t_100","R3_t_105","R3_t_110","R3_t_115","R3_t_120","R3_t_125","R3_t_130","R3_t_135","R3_t_140","R3_t_145","R3_t_150","R3_t_155","R3_t_160","R3_t_165","R3_t_170","R3_t_175","R3_t_180"
11,28,225,111,106,470,"_IMG_0121_FA_UT_260123-53.mp4",2026-04-22,"FA","UT","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",0.993,0.0595744680851064,0.478723404255319,0.236170212765957,0.225531914893617,253,217,0.538297872340426,0.461702127659574,"test011",59,0,0,0,0,0,0,0,19,44,65,36,93,61,66,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,6,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,7,19,24,25,39,14,54,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,7,16,27,2,11,15,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,12,8,37,23,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,46,1121,372,144,1683,"_IMG_0122_FA_UT_260123-54.mp4",2026-04-22,"FA","UT","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",1,0.0273321449792038,0.666072489601901,0.221033868092692,0.0855614973262032,1167,516,0.693404634581105,0.306595365418895,"test012",75,117,40,61,52,24,75,29,48,30,54,53,50,50,57,49,53,51,51,102,2,25,101,117,59,39,32,47,62,28,0,19,31,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,8,19,0,0,0,0,5,4,0,1,2,0,0,0,0,0,0,0,0,73,83,40,61,52,23,40,9,16,30,39,39,50,20,51,49,36,43,28,48,1,25,47,53,35,13,22,26,32,16,0,18,3,0,0,0,1,28,0,0,0,1,22,20,32,0,10,7,0,21,6,0,14,0,4,28,1,0,21,50,20,26,5,12,30,5,0,1,7,0,0,0,1,6,0,0,0,0,13,0,0,0,0,5,0,9,0,0,3,0,0,26,0,0,33,9,0,0,4,7,0,7,0,0,21,0,0,0
13,23,2895,588,153,3659,"_IMG_0196_FA_UT_6-8_03_23-1.mp4",2026-04-22,"FA","UT","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",1,0.00628587045640885,0.791199781361028,0.16069964471167,0.0418147034708937,2918,741,0.797485651817436,0.202514348182564,"test013",40,114,63,74,67,111,62,100,160,101,124,128,136,153,54,73,82,118,152,142,105,95,126,55,27,108,158,110,64,126,130,81,112,82,152,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,40,97,37,61,67,92,62,85,142,93,101,106,79,98,54,40,32,101,152,142,91,67,84,37,27,69,137,110,64,126,130,68,62,32,77,33,0,17,25,11,0,3,0,10,18,8,23,22,25,32,0,33,50,17,0,0,9,12,11,0,0,20,17,0,0,0,0,13,50,50,71,41,0,0,1,2,0,16,0,5,0,0,0,0,32,23,0,0,0,0,0,0,0,9,20,18,0,19,4,0,0,0,0,0,0,0,4,0
14,26,2082,446,204,2758,"_IMG_0197_FA_UT_6-8_03_23-2.mp4",2026-04-22,"FA","UT","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",1,0.00942712110224801,0.754894851341552,0.161711385061639,0.0739666424945613,2108,650,0.7643219724438,0.2356780275562,"test014",0,77,98,98,64,93,109,33,47,86,156,116,98,59,60,84,92,50,55,65,76,66,50,50,100,98,66,113,97,95,81,49,41,122,59,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,65,98,84,63,84,75,11,47,86,102,78,66,35,23,50,42,37,34,56,31,27,50,49,50,71,29,100,81,82,80,49,41,115,50,41,0,12,0,14,1,9,19,4,0,0,37,34,7,24,33,12,27,13,9,9,16,30,0,1,49,13,32,1,2,10,1,0,0,7,9,11,0,0,0,0,0,0,15,18,0,0,17,4,25,0,4,22,22,0,0,0,29,9,0,0,1,14,5,0,14,2,0,0,0,0,0,3
15,77,2256,718,264,3315,"_IMG_0198_FA_UT_6-8_03_23-3.mp4",2026-04-22,"FA","UT","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",0.993,0.0232277526395173,0.680542986425339,0.21659125188537,0.0796380090497738,2333,982,0.703770739064857,0.296229260935143,"test015",91,134,123,64,102,165,141,143,138,162,157,61,141,111,49,88,55,49,60,63,105,85,22,53,138,112,130,114,74,102,63,58,94,7,0,61,0,0,0,0,0,3,0,6,4,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,2,22,20,7,0,3,0,5,0,0,0,0,91,94,115,64,99,127,39,104,86,70,134,60,75,42,37,58,55,49,56,39,48,57,22,53,114,40,60,75,38,65,45,53,54,7,0,31,0,40,8,0,3,29,85,30,30,61,7,1,37,52,8,25,0,0,0,0,50,16,0,0,19,50,29,14,25,34,9,0,26,0,0,30,0,0,0,0,0,6,17,3,18,31,14,0,29,16,2,5,0,0,4,24,7,12,0,0,3,0,21,18,11,0,9,0,14,0,0,0
16,6,1061,32,0,1099,"_IMG_0211_FA_UT_6-8_03_23-4.mp4",2026-04-22,"FA","UT","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",1,0.00545950864422202,0.965423111919927,0.0291173794358508,0,1067,32,0.970882620564149,0.0291173794358508,"test016",9,24,37,0,50,38,13,3,20,77,52,90,63,123,82,70,53,52,62,14,0,0,0,0,0,0,1,0,0,0,0,0,0,30,75,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,9,24,37,0,50,38,13,3,20,77,52,90,63,123,82,70,53,52,62,14,0,0,0,0,0,0,1,0,0,0,0,0,0,27,55,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,138,1403,397,107,2045,"_IMG_0212_FA_UT_6-8_03_23-5.mp4",2026-04-22,"FA","UT","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",0.996,0.067481662591687,0.686063569682152,0.194132029339853,0.0523227383863081,1541,504,0.753545232273839,0.246454767726161,"test017",31,93,46,105,103,77,126,116,129,86,69,146,104,77,147,52,95,122,45,50,0,14,39,40,18,0,9,63,27,13,0,0,2,1,0,0,0,0,0,8,0,5,0,0,0,0,0,4,0,0,11,4,19,48,22,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,71,45,66,85,49,122,105,75,36,47,103,83,34,106,45,55,64,22,17,0,14,38,40,18,0,9,34,0,0,0,0,0,0,0,0,10,22,1,26,18,16,4,9,38,33,22,35,20,20,29,3,14,9,1,2,0,0,0,0,0,0,0,22,27,13,0,0,2,1,0,0,1,0,0,5,0,7,0,2,16,17,0,4,1,23,1,0,7,1,0,15,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
18,43,1562,248,111,1964,"_IMG_0213_FA_UT_6-8_03_23-6.mp4",2026-04-22,"FA","UT","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",1,0.0218940936863544,0.795315682281059,0.126272912423625,0.0565173116089613,1605,359,0.817209775967413,0.182790224032587,"test018",92,118,111,55,46,62,71,94,52,16,0,0,7,27,60,48,69,53,36,50,40,98,81,86,51,48,50,47,49,35,48,57,82,48,44,33,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,11,0,0,0,0,0,0,0,0,0,0,0,0,64,90,100,55,38,33,44,78,52,16,0,0,7,27,60,46,32,28,15,50,40,59,58,55,48,24,48,47,49,35,48,57,71,34,21,33,28,27,3,0,5,26,22,16,0,0,0,0,0,0,0,2,32,0,0,0,0,6,3,20,3,24,2,0,0,0,0,0,11,13,5,0,0,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,5,25,21,0,0,32,0,0,0,0,0,0,0,0,0,0,0,1,18,0
19,360,1371,183,148,2062,"_IMG_0214_FA_UT_6-8_03_23-7.mp4",2026-04-22,"FA","UT","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",1,0.17458777885548,0.664888457807953,0.0887487875848691,0.0717749757516974,1731,331,0.839476236663434,0.160523763336566,"test019",0,1,52,77,90,93,86,22,0,59,134,107,114,105,72,43,39,50,84,99,46,33,45,41,43,51,47,46,8,1,33,65,52,49,90,85,0,0,13,9,8,17,5,0,0,1,12,14,9,0,0,8,8,23,14,3,24,33,20,14,37,14,23,5,0,0,0,0,1,8,7,30,0,0,39,68,81,74,69,22,0,57,102,53,88,82,21,32,19,25,67,76,10,0,19,14,6,29,18,22,0,1,33,62,34,24,69,55,0,1,0,0,1,2,12,0,0,1,12,1,0,0,1,3,10,2,3,20,10,0,4,12,0,8,6,19,8,0,0,3,15,17,12,0,0,0,0,0,0,0,0,0,0,0,8,39,17,23,50,0,2,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,2,0,2,0
20,345,1729,300,128,2502,"_IMG_0215_FA_UT_6-8_03_23-8.mp4",2026-04-22,"FA","UT","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",0.999,0.1378896882494,0.691047162270184,0.119904076738609,0.0511590727418066,2074,428,0.828936850519584,0.171063149480416,"test020",40,86,104,76,82,88,115,67,55,143,91,18,8,58,69,62,47,111,61,51,52,47,59,41,46,96,71,114,56,29,74,110,106,68,50,51,0,0,6,0,0,28,37,35,41,21,24,1,0,19,0,15,10,0,0,0,2,0,2,13,9,25,0,0,6,29,3,5,10,4,0,0,40,73,81,62,69,25,67,32,14,104,67,17,8,33,45,38,37,77,27,10,21,26,40,28,37,56,61,102,49,0,69,77,72,64,50,51,0,13,17,14,8,31,11,0,0,16,0,0,0,6,24,9,0,23,22,30,19,16,0,0,0,0,0,5,1,0,2,26,7,0,0,0,0,0,0,0,5,4,0,0,0,2,0,0,0,0,0,0,0,11,12,11,10,5,17,0,0,15,10,7,0,0,0,2,17,0,0,0
21,133,1162,377,79,1751,"_IMG_0216_FA_UT_6-8_03_23-9.mp4",2026-04-22,"FA","UT","HOST","SUSCEPTIBLE","JC","","LSTM","TL2",1,0.0759565962307253,0.663620788121074,0.215305539691605,0.0451170759565962,1295,456,0.739577384351799,0.260422615648201,"test021",135,46,59,45,33,107,30,1,33,2,10,93,76,84,98,75,114,108,84,88,75,0,17,47,11,0,1,1,0,0,0,56,74,49,43,56,39,13,0,0,0,2,0,0,0,0,0,0,12,4,0,9,20,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,4,6,7,11,77,33,59,45,33,97,9,1,32,0,10,86,59,80,63,39,50,70,49,55,19,0,17,47,11,0,0,1,0,0,0,37,13,13,17,40,17,0,0,0,0,7,20,0,1,2,0,7,5,0,32,21,38,27,23,23,36,0,0,0,0,0,1,0,0,0,0,17,50,29,16,5,2,0,0,0,0,1,1,0,0,0,0,0,0,0,3,6,6,9,12,9,17,0,0,0,0,0,0,0,0,0,0,2,7,1,3,0
